n_components,n_neighbors,min_cluster_size,min_dist,metric, calinski_harabasz_score_x,davies_bouldin_score_x,silhouette_score_x,n_clusters_x,noise_size_x, calinski_harabasz_score_embedding,davies_bouldin_score_embedding,silhouette_score_embedding,n_clusters_embedding,noise_size_embedding
2,71,10,1.0,euclidean,8.02243842381781,4.241674077122885,-0.018399155,9,421,62.10451528052885,1.9133954360638121,-0.09519068,9,421
2,75,10,1.0,euclidean,9.899620893133493,4.736618024645364,-0.009531428,7,407,69.04609315950577,2.810404585690452,-0.13817917,7,407
2,79,10,1.0,euclidean,14.454160733951076,4.793529575397585,-0.011598486,5,435,90.79478338784551,1.683996281901468,-0.07150085,5,435
2,83,10,1.0,euclidean,12.10699410905715,5.203235991766645,-0.016002929,5,456,79.8776088487421,2.052211338855149,-0.12081141,5,456
2,87,10,1.0,euclidean,9.547320875790296,5.487032283985313,-0.02442837,5,536,57.29362348416976,5.59674524370088,-0.19989686,5,536
2,91,10,1.0,euclidean,8.25896770083502,4.703455553560861,-0.0399682,8,420,57.177253303181146,4.153903755871225,-0.23763819,8,420
2,95,10,1.0,euclidean,8.59436616728682,4.865122684588474,-0.024412155,8,453,49.77099266354607,2.9226301508081813,-0.17480253,8,453
2,100,10,1.0,euclidean,7.013883234920734,4.365716395779013,-0.036375597,8,559,33.437168267424134,1.814223553072143,-0.2574429,8,559
2,3,15,1.0,euclidean,16.66398198594198,4.239874081871731,-0.015445852,3,557,90.4681992805405,1.5720766248299594,-0.033867,3,557
2,7,15,1.0,euclidean,15.414446452531664,6.172206737888175,-0.013471823,4,379,144.5203840214598,2.2397758375464845,0.04849094,4,379
2,11,15,1.0,euclidean,11.251715668460127,5.334913998246201,-0.019777348,5,439,98.59396653084845,2.1005657054142355,-0.087131165,5,439
2,15,15,1.0,euclidean,15.899969899954437,4.890550521026821,-0.011650433,4,499,106.64904077359729,1.9933222733097251,-0.055655997,4,499
2,19,15,1.0,euclidean,15.334929773277858,5.160130277357468,-0.014365446,4,512,102.96095170775143,2.4354551100315565,-0.08388456,4,512
2,23,15,1.0,euclidean,16.078682479996377,4.5395877996916525,-0.020775791,4,522,101.24741961879576,1.82856622523637,-0.08274245,4,522
2,27,15,1.0,euclidean,14.242151574531238,5.339827375786291,-0.0051053544,4,483,101.99609094143172,2.5381014090235707,-0.06645957,4,483
2,31,15,1.0,euclidean,13.108260839663206,5.256396925302986,-0.01452134,5,478,81.41337863764826,2.11038824684359,-0.10477219,5,478
2,35,15,1.0,euclidean,12.755816363759658,5.747394063139605,-0.024860451,4,539,82.77664288783002,1.9514952369295955,-0.127268,4,539
2,39,15,1.0,euclidean,14.583103611560611,5.243238751932854,-0.022287665,4,522,84.33114075996085,1.8607536767097124,-0.097080395,4,522
2,43,15,1.0,euclidean,11.687682677817815,4.957398616053081,-0.012391053,5,484,83.10464004178873,1.7098949016093747,-0.12573393,5,484
2,47,15,1.0,euclidean,14.499397203613876,5.350108561934704,-0.021916,4,520,96.79985578367209,1.6884836741434726,-0.07902771,4,520
2,51,15,1.0,euclidean,25.238027300001068,6.435966132809621,0.038762067,3,301,184.9723312877258,2.2338399944897778,0.15809107,3,301
2,55,15,1.0,euclidean,8.400139114464706,4.463859927587945,-0.042584635,5,637,38.58047505584694,1.706525169215412,-0.28896236,5,637
2,59,15,1.0,euclidean,13.490651699869408,5.580370268879999,-0.017880166,4,509,116.3196877802919,2.076179638983241,-0.074014194,4,509
2,63,15,1.0,euclidean,15.85125401200468,5.727532486484522,-0.0155886235,4,459,117.69260493425415,1.8078628923209905,-0.028067153,4,459
2,67,15,1.0,euclidean,22.270255698156184,6.657218841770118,0.02564049,3,346,160.00538302173106,2.4368936319174432,0.121239446,3,346
2,71,15,1.0,euclidean,12.528123117528198,5.075879217811272,-0.015015551,5,451,106.49427852595906,1.9861999405405637,-0.10129125,5,451
